AR,WMO Symbol,WMO Region,Total WMO Region Participations,% WMO Region Participations,Total Participations
1,NAC,"North America, Central America and the Caribbean",204,35.6021,573
1,EUR,Europe,190,33.1588,573
1,WMONA,Non Available,65,11.3438,573
1,SWP,South-West Pacific,45,7.8534,573
1,ASI,Asia,43,7.5044,573
1,AFR,Africa,17,2.9668,573
1,SAM,South America,9,1.5707,573
2,NAC,"North America, Central America and the Caribbean",616,40.7677,1511
2,EUR,Europe,490,32.4289,1511
2,ASI,Asia,157,10.3905,1511
2,SWP,South-West Pacific,117,7.7432,1511
2,SAM,South America,61,4.0371,1511
2,AFR,Africa,61,4.0371,1511
2,WMONA,Non Available,9,0.5956,1511
3,NAC,"North America, Central America and the Caribbean",583,33.9744,1716
3,EUR,Europe,518,30.1865,1716
3,WMONA,Non Available,253,14.7436,1716
3,ASI,Asia,143,8.3333,1716
3,SWP,South-West Pacific,109,6.3520,1716
3,SAM,South America,55,3.2051,1716
3,AFR,Africa,55,3.2051,1716
4,EUR,Europe,689,38.7296,1779
4,NAC,"North America, Central America and the Caribbean",614,34.5138,1779
4,ASI,Asia,195,10.9612,1779
4,SWP,South-West Pacific,142,7.9820,1779
4,AFR,Africa,81,4.5531,1779
4,SAM,South America,58,3.2603,1779
5,EUR,Europe,862,40.2804,2140
5,NAC,"North America, Central America and the Caribbean",693,32.3832,2140
5,ASI,Asia,218,10.1869,2140
5,SWP,South-West Pacific,179,8.3645,2140
5,AFR,Africa,115,5.3738,2140
5,SAM,South America,73,3.4112,2140
